date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:00:19	7881/7881	---M--	200	added ('OK')	image/png	date:Mon,%2017%20Aug%202020%2022:01:40%20GMT	https://validthemes.live//themeforest/digilab/assets/img/shape/9.png	C:/Users/sumit/Desktop/projects/WEB3_connect_bhopal/web3_event_bhopal/validthemes.live/themeforest/digilab/assets/img/shape/9.png	(from https://validthemes.live//themeforest/digilab/index-1.html)
11:00:20	24502/24502	---M--	200	added ('OK')	image/jpeg	date:Fri,%2030%20Mar%202018%2014:51:24%20GMT	https://validthemes.live//themeforest/digilab/assets/img/team/1.jpg	C:/Users/sumit/Desktop/projects/WEB3_connect_bhopal/web3_event_bhopal/validthemes.live/themeforest/digilab/assets/img/team/1.jpg	(from https://validthemes.live//themeforest/digilab/index-1.html)
11:00:23	45219/45219	---M--	200	added ('OK')	image/jpeg	date:Fri,%2030%20Aug%202019%2023:32:48%20GMT	https://validthemes.live//themeforest/digilab/assets/img/team/2.jpg	C:/Users/sumit/Desktop/projects/WEB3_connect_bhopal/web3_event_bhopal/validthemes.live/themeforest/digilab/assets/img/team/2.jpg	(from https://validthemes.live//themeforest/digilab/index-1.html)
11:00:24	33762/33762	---M--	200	added ('OK')	image/jpeg	date:Fri,%2030%20Aug%202019%2023:31:46%20GMT	https://validthemes.live//themeforest/digilab/assets/img/team/3.jpg	C:/Users/sumit/Desktop/projects/WEB3_connect_bhopal/web3_event_bhopal/validthemes.live/themeforest/digilab/assets/img/team/3.jpg	(from https://validthemes.live//themeforest/digilab/index-1.html)
11:00:25	35353/35353	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Aug%202020%2022:23:46%20GMT	https://validthemes.live//themeforest/digilab/assets/img/team/7.jpg	C:/Users/sumit/Desktop/projects/WEB3_connect_bhopal/web3_event_bhopal/validthemes.live/themeforest/digilab/assets/img/team/7.jpg	(from https://validthemes.live//themeforest/digilab/index-1.html)
11:00:25	22762/22762	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Aug%202020%2021:40:14%20GMT	https://validthemes.live//themeforest/digilab/assets/img/blog/5.jpg	C:/Users/sumit/Desktop/projects/WEB3_connect_bhopal/web3_event_bhopal/validthemes.live/themeforest/digilab/assets/img/blog/5.jpg	(from https://validthemes.live//themeforest/digilab/index-1.html)
11:00:26	4426/4426	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Aug%202020%2020:46:02%20GMT	https://validthemes.live//themeforest/digilab/assets/img/logo-light.png	C:/Users/sumit/Desktop/projects/WEB3_connect_bhopal/web3_event_bhopal/validthemes.live/themeforest/digilab/assets/img/logo-light.png	(from https://validthemes.live//themeforest/digilab/index-1.html)
11:00:27	52843/52843	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20May%202020%2001:48:26%20GMT	https://validthemes.live//themeforest/digilab/assets/img/blog/3.jpg	C:/Users/sumit/Desktop/projects/WEB3_connect_bhopal/web3_event_bhopal/validthemes.live/themeforest/digilab/assets/img/blog/3.jpg	(from https://validthemes.live//themeforest/digilab/index-1.html)
11:00:27	54619/54619	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Aug%202020%2021:46:42%20GMT	https://validthemes.live//themeforest/digilab/assets/img/blog/2.jpg	C:/Users/sumit/Desktop/projects/WEB3_connect_bhopal/web3_event_bhopal/validthemes.live/themeforest/digilab/assets/img/blog/2.jpg	(from https://validthemes.live//themeforest/digilab/index-1.html)
11:00:28	97163/97163	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2028%20Aug%202018%2023:45:20%20GMT	https://validthemes.live//themeforest/digilab/assets/js/jquery-1.12.4.min.js	C:/Users/sumit/Desktop/projects/WEB3_connect_bhopal/web3_event_bhopal/validthemes.live/themeforest/digilab/assets/js/jquery-1.12.4.min.js	(from https://validthemes.live//themeforest/digilab/index-1.html)
